threshold,cv,seed,readout_pos,prec_zone_width,time,num_threads
0.01,0.07,66,2.53939,1.35268,974.534,120
0.01,0.07,67,2.29697,1.40697,1239.96,120
0.01,0.07,68,2.39697,1.52289,1128.82,120
0.01,0.07,69,2.37576,1.46041,1335.42,120
0.01,0.07,70,2.40606,1.63673,1142.71,120
0.01,0.07,71,2.50303,1.50184,1183.6,120
0.01,0.07,72,2.59394,1.50871,1008.0,120
0.01,0.07,73,2.26061,1.35696,1002.7,120
0.01,0.07,74,2.31818,1.66081,961.216,120
0.01,0.07,75,2.40303,1.39361,943.583,120
0.01,0.07,76,2.44848,2.23192,1093.82,120
0.01,0.07,77,2.59697,1.58448,1003.0,120
0.01,0.07,78,2.35455,1.54127,1043.97,120
0.01,0.07,79,2.45758,1.36941,1159.84,120
0.01,0.07,80,2.27576,1.58708,957.58,120
0.01,0.07,81,2.33939,1.34125,912.595,120
0.01,0.07,82,2.31212,1.25147,1191.28,120
0.01,0.07,83,2.58182,1.45353,1033.54,120
0.01,0.07,84,2.44242,1.34302,886.779,120
0.01,0.07,85,2.40606,1.47293,905.464,120
0.01,0.07,86,2.48485,1.44687,1150.06,120
0.01,0.07,87,2.50606,1.39663,1023.28,120
0.01,0.07,88,2.36667,1.36053,1090.89,120
0.01,0.07,89,2.51212,1.41111,876.095,120
0.01,0.07,90,2.36667,1.77571,870.158,120
0.01,0.07,91,2.48182,1.33925,1093.04,120
0.01,0.07,92,2.50303,1.40867,1093.18,120
0.01,0.07,93,2.47576,1.5303,895.707,120
0.01,0.07,94,2.34848,1.47946,1023.59,120
0.01,0.07,95,2.36667,1.67113,1093.78,120
0.01,0.07,96,2.48788,31.2028,1097.42,120
0.01,0.07,97,2.53939,1.14717,1044.59,120
0.01,0.07,98,2.44545,1.25533,1022.6,120
0.01,0.07,99,2.30606,1.44225,1023.02,120
0.01,0.1,0,2.27576,1.24924,1188.83,120
0.01,0.1,1,2.27273,1.41259,941.025,120
0.01,0.1,2,2.31515,1.04393,903.269,120
0.01,0.1,3,2.2303,1.47179,898.766,120
0.01,0.1,4,2.12424,1.30139,836.817,120
0.01,0.1,5,2.52424,1.47813,870.77,120
0.01,0.1,6,2.30909,1.69765,1188.49,120
0.01,0.1,7,2.40909,1.75216,972.667,120
0.01,0.1,8,2.2303,24.5524,1066.32,120
0.01,0.1,9,2.33333,1.41197,877.394,120
0.01,0.1,10,2.34242,1.46058,968.957,120
0.01,0.1,11,2.19697,1.67992,993.188,120
0.01,0.1,12,2.43636,1.36027,840.145,120
0.01,0.1,13,2.37273,1.6142,1050.57,120
0.01,0.1,14,2.55152,1.67251,1099.25,120
0.01,0.1,15,2.51212,1.1605,903.994,120
0.01,0.1,16,2.54545,1.58592,1062.45,120
0.01,0.1,17,2.84848,1.40151,1029.74,120
0.01,0.1,18,2.16667,1.30219,1246.88,120
0.01,0.1,19,2.41212,1.70408,977.973,120
0.01,0.1,20,2.20909,1.38464,920.133,120
0.01,0.1,21,2.40909,1.20905,917.591,120
0.01,0.1,22,2.37576,1.30352,1022.9,120
0.01,0.1,23,2.38182,1.06606,1011.14,120
0.01,0.1,24,2.37273,1.45052,1111.31,120
0.01,0.1,25,2.2697,1.46163,893.326,120
0.01,0.1,26,2.28182,1.64014,1076.37,120
0.01,0.1,27,2.1303,1.39527,1075.76,120
0.01,0.1,28,2.47576,1.28962,929.199,120
0.01,0.1,29,2.30606,1.22208,1100.14,120
0.01,0.1,30,2.41515,1.47884,1019.5,120
0.01,0.1,31,2.49394,1.32263,1081.47,120
0.01,0.1,32,2.30303,1.47692,880.957,120
0.01,0.1,33,2.39697,1.37549,924.005,120
0.01,0.1,34,2.48182,1.33375,1075.3,120
0.01,0.1,35,2.30303,1.29085,874.279,120
0.01,0.1,36,2.3,1.55065,946.566,120
0.01,0.1,37,2.28788,1.12235,1140.7,120
0.01,0.1,38,2.51212,1.35466,955.4,120
0.01,0.1,39,2.2,1.27251,1099.06,120
0.01,0.1,40,2.36667,1.60973,1015.75,120
0.01,0.1,41,2.55152,1.35735,1049.28,120
0.01,0.1,42,2.26061,1.32772,1003.04,120
0.01,0.1,43,2.20303,1.28094,845.752,120
0.01,0.1,44,2.33333,1.53491,836.625,120
0.01,0.1,45,2.33636,1.35116,858.479,120
0.01,0.1,46,2.36061,1.56145,864.223,120
0.01,0.1,47,2.24848,1.48323,1144.95,120
0.01,0.1,48,2.22424,1.36834,849.215,120
0.01,0.1,49,2.30909,1.26661,1147.88,120
0.01,0.1,50,2.10909,30.6395,911.1,120
0.01,0.1,51,2.50303,1.32182,850.07,120
0.01,0.1,52,2.10606,1.66689,928.726,120
0.01,0.1,53,2.32424,1.47649,825.433,120
0.01,0.1,54,2.25758,1.49299,780.899,120
0.01,0.1,55,2.29091,1.38358,1079.72,120
