thresh_cv,grad_cv,seed,readout_pos,time,num_threads
0.3,1,1,-6.27119,419.886,32
0.3,1,12,-5.38983,419.95,32
0.3,1,2,-5.90678,419.986,32
0.3,1,15,-5.81356,420.023,32
0.3,1,24,-5.5678,420.179,32
0.3,1,27,-6.71186,420.207,32
0.3,1,10,-5.59322,420.24,32
0.3,1,13,-6.09322,420.268,32
0.3,1,21,-5.29661,420.315,32
0.3,1,29,-5.83051,420.411,32
0.3,1,23,-6.50847,421.287,32
0.3,1,18,-5.66102,429.781,32
0.3,1,0,-6.5678,506.722,32
1,0.01,28,-3.40678,418.124,32
1,0.01,31,-3.80508,418.765,32
1,0.01,22,-3.24576,419.084,32
1,0.01,29,-3.5339,419.14,32
1,0.01,21,-3.99153,419.377,32
1,0.01,19,-3.88136,419.491,32
1,0.01,24,-3.5339,419.558,32
1,0.01,23,-3.12712,419.611,32
1,0.01,27,-3.79661,419.665,32
1,0.01,4,-3.81356,419.709,32
1,0.01,15,-3.83051,419.887,32
1,0.01,16,-3.55932,419.989,32
1,0.01,3,-3.83898,420.028,32
1,0.01,14,-4.02542,420.123,32
1,0.01,8,-3.68644,420.221,32
1,0.01,25,-3.12712,420.272,32
1,0.01,7,-4.21186,420.308,32
1,0.01,5,-3.58475,420.351,32
1,0.01,30,-3.55085,420.525,32
1,0.01,17,-3.11017,420.643,32
1,0.01,12,-3.5,420.679,32
1,0.01,26,-3.41525,420.748,32
1,0.01,10,-3.23729,420.802,32
1,0.01,1,-3.79661,420.857,32
1,0.01,2,-3.68644,420.988,32
1,0.01,20,-3.75424,421.02,32
1,0.01,6,-3.52542,421.087,32
1,0.01,11,-3.48305,421.157,32
1,0.01,13,-3.76271,421.336,32
1,0.01,9,-3.63559,421.426,32
1,0.01,18,-4.07627,431.281,32
1,0.01,0,-3.23729,509.524,32
1,0.05,28,-3.9322,417.775,32
1,0.05,17,-3.72034,418.227,32
1,0.05,25,-3.82203,418.666,32
1,0.05,4,-3.74576,418.709,32
1,0.05,14,-3.29661,418.768,32
1,0.05,19,-3.89831,418.831,32
1,0.05,23,-3.4322,418.872,32
1,0.05,29,-3.51695,418.918,32
1,0.05,7,-3.52542,418.973,32
1,0.05,6,-4.0339,419.206,32
1,0.05,31,-3.45763,419.323,32
1,0.05,27,-4.00847,419.416,32
1,0.05,5,-3.72881,419.486,32
1,0.05,20,-3.58475,419.635,32
1,0.05,13,-3.61864,419.767,32
1,0.05,9,-3.27119,419.802,32
1,0.05,8,-4.22034,419.92,32
1,0.05,21,-3.0339,419.966,32
1,0.05,26,-3.74576,420.071,32
1,0.05,24,-3.4322,420.107,32
1,0.05,22,-3.81356,420.184,32
1,0.05,12,-3.44915,420.221,32
1,0.05,15,-3.60169,420.305,32
1,0.05,16,-3.71186,420.387,32
1,0.05,11,-3.5678,420.405,32
1,0.05,3,-3.94915,420.463,32
1,0.05,1,-3.55085,420.73,32
1,0.05,30,-3.47458,420.825,32
1,0.05,10,-3.83898,421.031,32
1,0.05,2,-3.98305,421.214,32
1,0.05,18,-3.42373,439.923,32
1,0.05,0,-3.57627,533.049,32
1,0.1,28,-2.84746,417.168,32
1,0.1,14,-4.14407,417.771,32
